Symbol,Name,Sector,industry,Exchange
KFFB,Kentucky First Federal Bancorp,Finance,Savings Institutions,NASDAQ
KFRC,"Kforce, Inc.",Technology,Professional Services,NASDAQ
KFS,"Kingsway Financial Services, Inc.",Finance,Property-Casualty Insurers,NYSE
KFY,Korn Ferry ,Technology,Diversified Commercial Services,NYSE
KGC,Kinross Gold Corporation,Basic Industries,Precious Metals,NYSE
KGJI,Kingold Jewelry Inc.,Miscellaneous,Business Services,NASDAQ
KHC,The Kraft Heinz Company,Consumer Non-Durables,Packaged Foods,NASDAQ
KIDS,OrthoPediatrics Corp.,Health Care,Medical/Dental Instruments,NASDAQ
KIM,Kimco Realty Corporation,Consumer Services,Real Estate Investment Trusts,NYSE
KIN,"Kindred Biosciences, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
KINS,"Kingstone Companies, Inc",Finance,Property-Casualty Insurers,NASDAQ
KIQ,Kelso Technologies Inc,Capital Goods,Railroads,AMEX
KIRK,"Kirkland&#39;s, Inc.",Consumer Services,Other Specialty Stores,NASDAQ
KKR,KKR & Co. Inc.,Finance,Investment Managers,NYSE
KL,Kirkland Lake Gold Ltd.,Basic Industries,Precious Metals,NYSE
KLAC,KLA-Tencor Corporation,Capital Goods,Electronic Components,NASDAQ
KLDO,"Kaleido Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
KLIC,"Kulicke and Soffa Industries, Inc.",Technology,Semiconductors,NASDAQ
KLXE,"KLX Energy Services Holdings, Inc. ",Energy,Oilfield Services/Equipment,NASDAQ
KMB,Kimberly-Clark Corporation,Consumer Durables,Containers/Packaging,NYSE
KMDA,Kamada Ltd.,Health Care,Major Pharmaceuticals,NASDAQ
KMI,"Kinder Morgan, Inc.",Public Utilities,Natural Gas Distribution,NYSE
KMPA,Kemper Corporation,Finance,Property-Casualty Insurers,NYSE
KMPH,"KemPharm, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
KMPR,Kemper Corporation,Finance,Property-Casualty Insurers,NYSE
KMT,Kennametal Inc.,Capital Goods,Industrial Machinery/Components,NYSE
KMX,CarMax Inc,Consumer Durables,Automotive Aftermarket,NYSE
KN,Knowles Corporation,Consumer Non-Durables,Consumer Electronics/Appliances,NYSE
KNDI,"Kandi Technologies Group, Inc.",Capital Goods,Auto Manufacturing,NASDAQ
KNL,"Knoll, Inc.",Consumer Durables,Office Equipment/Supplies/Services,NYSE
KNOP,KNOT Offshore Partners LP,Consumer Services,Marine Transportation,NYSE
KNSA,"Kiniksa Pharmaceuticals, Ltd.",Health Care,Major Pharmaceuticals,NASDAQ
KNSL,"Kinsale Capital Group, Inc.",Finance,Property-Casualty Insurers,NASDAQ
